behavior_id,customer_id,cart_abandonment,customer_segment
1,588,False,New User
2,936,False,VIP
3,731,False,VIP
4,922,False,New User
5,50,False,New User
6,996,False,VIP
7,257,True,New User
8,346,True,New User
9,619,True,New User
10,832,False,New User
11,948,True,New User
12,752,True,Regular
13,824,False,VIP
14,915,True,Regular
15,767,True,VIP
16,586,True,Regular
17,454,False,New User
18,313,False,New User
19,551,False,Regular
20,51,True,New User
21,319,True,VIP
22,444,False,New User
23,98,True,Regular
24,308,True,Regular
25,359,False,New User
26,311,False,Regular
27,977,True,Regular
28,127,False,New User
29,471,True,New User
30,503,False,Regular
31,849,True,Regular
32,206,False,VIP
33,201,False,New User
34,982,True,New User
35,388,False,New User
36,996,False,VIP
37,479,False,VIP
38,305,False,Regular
39,358,True,Regular
40,116,False,Regular
41,848,True,Regular
42,395,False,VIP
43,408,True,New User
44,604,False,New User
45,816,False,New User
46,844,False,Regular
47,222,True,Regular
48,143,False,Regular
49,531,True,VIP
50,719,True,Regular
51,892,True,New User
52,194,True,VIP
53,874,True,Regular
54,165,True,VIP
55,453,True,New User
56,732,False,New User
57,526,True,Regular
58,775,True,New User
59,721,True,New User
60,74,False,VIP
61,603,False,VIP
62,752,False,Regular
63,675,True,Regular
64,27,True,Regular
65,863,True,Regular
66,557,True,Regular
67,544,True,VIP
68,327,True,Regular
69,843,False,New User
70,853,True,VIP
71,334,True,Regular
72,895,True,Regular
73,993,True,New User
74,458,True,VIP
75,723,False,VIP
76,897,True,Regular
77,633,True,Regular
78,771,True,VIP
79,377,False,VIP
80,290,True,VIP
81,899,False,VIP
82,412,True,Regular
83,191,True,New User
84,521,False,Regular
85,738,False,Regular
86,222,False,VIP
87,290,False,VIP
88,662,True,Regular
89,133,True,VIP
90,461,False,VIP
91,606,False,New User
92,463,True,Regular
93,360,True,Regular
94,125,False,Regular
95,225,False,Regular
96,827,True,New User
97,440,False,Regular
98,69,False,New User
99,791,True,New User
100,881,True,VIP
101,574,False,VIP
102,553,True,Regular
103,433,True,Regular
104,960,True,VIP
105,354,False,VIP
106,441,False,VIP
107,50,True,VIP
108,809,False,New User
109,596,False,Regular
110,423,True,New User
111,108,True,Regular
112,369,True,Regular
113,468,False,Regular
114,17,True,New User
115,870,False,VIP
116,979,False,Regular
117,475,False,Regular
118,279,False,Regular
119,114,True,VIP
120,55,True,New User
121,939,True,VIP
122,586,False,VIP
123,949,True,Regular
124,673,False,VIP
125,237,False,VIP
126,712,True,VIP
127,386,False,Regular
128,90,False,Regular
129,847,True,New User
130,267,True,VIP
131,693,True,New User
132,659,True,Regular
133,518,True,New User
134,402,True,Regular
135,324,False,Regular
136,817,True,New User
137,626,True,Regular
138,624,False,Regular
139,453,False,Regular
140,174,True,VIP
141,323,True,New User
142,771,True,VIP
143,394,True,VIP
144,430,False,Regular
145,497,False,New User
146,280,True,VIP
147,632,True,Regular
148,674,True,Regular
149,897,False,New User
150,259,False,Regular
151,255,True,VIP
152,502,True,Regular
153,420,False,New User
154,14,False,Regular
155,795,False,VIP
156,828,False,Regular
157,231,False,Regular
158,221,False,Regular
159,274,True,VIP
160,762,False,Regular
161,153,True,Regular
162,475,False,VIP
163,800,True,VIP
164,288,False,New User
165,787,True,Regular
166,686,True,Regular
167,504,False,Regular
168,116,True,New User
169,637,True,Regular
170,735,False,VIP
171,295,False,VIP
172,748,True,New User
173,558,False,Regular
174,278,False,New User
175,626,False,Regular
176,287,True,Regular
177,609,True,Regular
178,304,True,VIP
179,336,True,VIP
180,155,True,Regular
181,150,False,Regular
182,929,True,New User
183,529,False,Regular
184,246,False,VIP
185,103,False,New User
186,978,False,New User
187,245,True,Regular
188,158,False,VIP
189,325,True,VIP
190,949,True,VIP
191,567,True,New User
192,436,True,VIP
193,852,True,VIP
194,417,False,Regular
195,862,False,VIP
196,212,False,New User
197,641,False,VIP
198,492,True,Regular
199,904,True,Regular
200,463,False,New User
201,609,True,VIP
202,462,True,New User
203,630,False,Regular
204,976,True,New User
205,418,True,Regular
206,652,False,VIP
207,933,True,Regular
208,962,False,New User
209,799,False,Regular
210,82,False,Regular
211,477,True,New User
212,604,True,VIP
213,681,False,VIP
214,694,True,New User
215,176,False,VIP
216,94,False,New User
217,778,False,Regular
218,896,True,Regular
219,297,True,New User
220,823,False,New User
221,158,True,Regular
222,164,True,VIP
223,5,True,Regular
224,558,True,VIP
225,219,True,New User
226,904,True,New User
227,447,False,VIP
228,866,False,New User
229,548,False,Regular
230,224,True,VIP
231,221,True,VIP
232,86,True,New User
233,427,False,New User
234,258,False,New User
235,514,True,Regular
236,90,False,VIP
237,244,False,Regular
238,925,False,VIP
239,61,True,VIP
240,815,False,VIP
241,983,True,New User
242,536,False,VIP
243,272,False,Regular
244,375,False,VIP
245,769,True,Regular
246,594,False,VIP
247,600,True,Regular
248,763,True,New User
249,68,False,Regular
250,623,False,VIP
251,849,False,New User
252,874,False,VIP
253,404,False,New User
254,377,True,Regular
255,193,False,Regular
256,737,True,VIP
257,566,False,New User
258,410,True,VIP
259,189,False,Regular
260,404,False,Regular
261,786,False,Regular
262,910,False,Regular
263,956,True,VIP
264,914,False,VIP
265,973,True,Regular
266,591,False,VIP
267,911,False,Regular
268,201,False,VIP
269,429,False,New User
270,323,False,New User
271,772,True,New User
